BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,PELHAM GARDENS,1,4492,A,10469,1,0,1,2500,1944,1965,1,A,530000,2017-02-10
4,KEW GARDENS,1,9232,A,11418,1,0,1,4400,1623,1920,1,A,760000,2017-08-16
4,ASTORIA,1,728,A,11103,1,0,1,2500,865,1901,1,A,825000,2017-06-27
5,ELTINGVILLE,1,5624,B,10312,2,0,2,4000,2350,1997,1,B,899000,2017-04-21
2,WAKEFIELD,1,5048,A,10466,1,0,1,2028,968,1930,1,A,435000,2016-10-05
2,THROGS NECK,1,5534,A,10465,1,0,1,2825,1200,1925,1,A,515000,2017-04-13
4,FLUSHING-NORTH,1,4990,A,11354,1,0,1,5100,2126,1955,1,A,960000,2017-02-24
2,BATHGATE,1,3039,B,10458,2,0,2,1800,1944,1910,1,B,500000,2017-01-12
5,TOTTENVILLE,1,7899,A,10307,1,0,1,2312,1744,2005,1,A,1500,2017-05-08
4,MIDDLE VILLAGE,1,2826,C,11379,3,0,3,2300,3243,1965,1,C,1165000,2017-02-22
4,BEECHHURST,1,4608,A,11357,1,0,1,5500,4107,1955,1,A,1472500,2017-07-31
2,SOUNDVIEW,1,3471,A,10473,1,0,1,2500,840,1925,1,A,390000,2017-05-10
4,OZONE PARK,1,9156,B,11417,2,0,2,3010,1332,1930,1,B,645000,2016-09-14
5,CLOVE LAKES,1,300,A,10310,1,0,1,3317,1674,1935,1,A,555000,2016-12-28
4,SPRINGFIELD GARDENS,1,13316,A,11434,1,0,1,3000,498,1925,1,A,168000,2017-03-13
4,CORONA,1,1999,C,11368,3,0,3,1800,2322,1965,1,C,535000,2017-05-30
2,CASTLE HILL/UNIONPORT,1,3806,B,10472,2,0,2,4878,1959,1901,1,B,419657,2017-03-28
3,PARK SLOPE SOUTH,1,875,A,11215,1,0,1,1603,1406,1915,1,A,1035000,2017-06-30
3,FLATLANDS,1,7847,C,11234,3,0,3,2667,2409,1920,1,C,835000,2017-07-20
4,GLENDALE,1,3842,A,11385,1,0,1,2000,1400,1945,1,A,685000,2017-01-12
2,COUNTRY CLUB,1,5470,A,10465,1,0,1,1316,1224,1960,1,A,402500,2017-07-21
5,NEW DORP,1,3960,B,10306,2,0,2,1820,1300,2005,1,B,493000,2016-09-30
4,REGO PARK,1,3130,A,11374,1,0,1,1736,1224,1938,1,A,790000,2017-06-14
3,SHEEPSHEAD BAY,2A,7394,C,11223,4,0,4,2000,2800,1930,2,C,840000,2017-08-10
4,ELMHURST,1,2467,A,11373,1,0,1,1992,864,1940,1,A,640000,2017-03-07
